,sentence,category,subcategory,domain,id,audio_quality,prosody_1,meaning_1,translation_1,audio_1,prosody_2,meaning_2,translation_2,audio_2
46,They need to finish the project by Friday.,Sentence Stress,Contrastive Stress (General),Workplace Communication,10076,1,They *NEED* to finish the project by Friday.,It is necessary for them to finish it by Friday.,Sie müssen bis Freitag das Projekt fertigstellen.,data/sentence_stress/wavs/10076/10076_1_5.wav,They need to finish the *PROJECT* by Friday.,"Something else, not the project, might not need to be finished by Friday.",Sie müssen das Projekt bis Freitag fertigstellen.,data/sentence_stress/wavs/10076/10076_2_0.wav
48,Sarah will handle the new client meeting.,Sentence Stress,Contrastive Stress (General),Workplace Communication,10079,1,Sarah will *HANDLE* the new client meeting.,"Handling it, rather than assigning it to someone else.",Sarah wird das Treffen mit dem neuen Kunden übernehmen.,data/sentence_stress/wavs/10079/10079_1_5.wav,Sarah will handle the new *CLIENT* meeting.,"The meeting with the new client, not with any other client.",Sarah wird sich um das Treffen mit dem neuen Kunden kümmern.,data/sentence_stress/wavs/10079/10079_2_0.wav
50,I thought you liked talking about your feelings.,Sentence Stress,Contrastive Stress (General),Therapy Sessions,10085,1,I thought *YOU* liked talking about your feelings.,"I thought you, not someone else, liked talking about your feelings.","Ich dachte, du redest gern über deine Gefühle.",data/sentence_stress/wavs/10085/10085_1_2.wav,I thought you liked talking about *YOUR* feelings.,"I thought you liked talking about your own feelings, not someone else's.","Ich dachte, du redest gern über deine eigenen Gefühle.",data/sentence_stress/wavs/10085/10085_2_1.wav
51,You're supposed to express your anger.,Sentence Stress,Contrastive Stress (General),Therapy Sessions,10086,2,You're supposed to *EXPRESS* your anger.,"You're supposed to show or communicate your anger, not repress it.",Du sollst deinen Ärger zum Ausdruck bringen.,data/sentence_stress/wavs/10086/10086_1_2.wav,You're supposed to express your *ANGER*.,"You're supposed to express anger, not another emotion.",Du sollst deinen Ärger äußern.,data/sentence_stress/wavs/10086/10086_2_4.wav
52,She said you should start writing a journal.,Sentence Stress,Contrastive Stress (General),Therapy Sessions,10087,2,She said *YOU* should start writing a journal.,"She said you, specifically, should start writing a journal, not someone else.","Sie hat gesagt, dass du anfangen solltest, ein Tagebuch zu schreiben.",data/sentence_stress/wavs/10087/10087_1_1.wav,She said you should start writing a *JOURNAL*.,"She said you should start writing a journal, not doing something else.","Sie hat gesagt, du solltest anfangen, ein Tagebuch zu schreiben.",data/sentence_stress/wavs/10087/10087_2_5.wav
53,This exercise is useful for managing stress.,Sentence Stress,Contrastive Stress (General),Therapy Sessions,10090,1,This *EXERCISE* is useful for managing stress.,"This specific exercise, not some other exercise, is useful for managing stress.",Gerade diese Übung ist nützlich zur Stressbewältigung,data/sentence_stress/wavs/10090/10090_1_3.wav,This exercise is useful for managing *STRESS*.,"This exercise is useful for managing stress, not something else.",Diese Übung ist nützlich zur Stressbewältigung,data/sentence_stress/wavs/10090/10090_2_2.wav
55,You've made significant progress in therapy.,Sentence Stress,Contrastive Stress (General),Therapy Sessions,10092,1,*YOU'VE* made significant progress in therapy.,"You, not someone else, have made significant progress in therapy.",Du persönlich hast bedeutende Fortschritte in der Therapie gemacht.,data/sentence_stress/wavs/10092/10092_1_0.wav,You've made significant *PROGRESS* in therapy.,"You've made significant progress, not just any type of change, in therapy.",Du hast bedeutende Fortschritte in der Therapie gemacht.,data/sentence_stress/wavs/10092/10092_2_0.wav
56,John thinks the sessions are very beneficial.,Sentence Stress,Contrastive Stress (General),Therapy Sessions,10093,1,*JOHN* thinks the sessions are very beneficial.,"John, not someone else, thinks the sessions are very beneficial.","Besonders John denkt, dass die Sitzungen sehr nützlich sind.",data/sentence_stress/wavs/10093/10093_1_1.wav,John thinks the *SESSIONS* are very beneficial.,"John thinks the sessions, not something else, are very beneficial.","John denkt, dass besonders die Sitzungen sehr nützlich sind.",data/sentence_stress/wavs/10093/10093_2_5.wav
57,Her story focused on the economic impact of the crisis.,Sentence Stress,Contrastive Stress (General),Journalism,10096,1,Her *STORY* focused on the economic impact of the crisis.,"It was her story, not someone else's, that focused on the economic impact.",Gerade ihre Geschichte konzentrierte sich auf die wirtschaftlichen Auswirkungen der Krise.,data/sentence_stress/wavs/10096/10096_1_3.wav,Her story focused on the *ECONOMIC* impact of the crisis.,"The focus was on the economic impact, not some other aspect.",Ihre Geschichte konzentrierte sich auf die ökonomischen Folgen der Krise.,data/sentence_stress/wavs/10096/10096_2_0.wav
60,The article was published in the local newspaper.,Sentence Stress,Contrastive Stress (General),Journalism,10099,1,The *ARTICLE* was published in the local newspaper.,"It was the article that was published, not something else.",Der Artikel selbst wurde in der lokalen Zeitung veröffentlicht.,data/sentence_stress/wavs/10099/10099_1_3.wav,The article was published in the *LOCAL* newspaper.,"The publication was in the local newspaper, not a different one.",Der Artikel wurde in der lokalen Zeitung veröffentlicht.,data/sentence_stress/wavs/10099/10099_2_1.wav
61,The reporter covered the event live from the scene.,Sentence Stress,Contrastive Stress (General),Journalism,10100,1,The *REPORTER* covered the event live from the scene.,"It was the reporter, not someone else, who covered the event.",Der Reporter selbst berichtete live vom Ort des Geschehens.,data/sentence_stress/wavs/10100/10100_1_2.wav,The reporter covered the *EVENT* live from the scene.,"The event was covered live from the scene, not another event.",Der Reporter berichtete live vom Ort des Geschehens.,data/sentence_stress/wavs/10100/10100_2_1.wav
62,The photographer captured the protest in powerful images.,Sentence Stress,Contrastive Stress (General),Journalism,10101,1,The *PHOTOGRAPHER* captured the protest in powerful images.,"It was the photographer, not another person, who captured the protest.",Der Fotograf selbst hat den Protest in kraftvollen Bildern festgehalten.,data/sentence_stress/wavs/10101/10101_1_1.wav,The photographer captured the *PROTEST* in powerful images.,"The protest, not something else, was captured in powerful images.",Der Fotograf hat den Protest in kraftvollen Bildern festgehalten.,data/sentence_stress/wavs/10101/10101_2_2.wav
64,He prepared his notes thoroughly.,Sentence Stress,Contrastive Stress (General),Public Speaking,10112,2,He *PREPARED* his notes thoroughly.,The emphasis is on the act of preparation.,Er bereitete seine Notizen gründlich vor.,data/sentence_stress/wavs/10112/10112_1_5.wav,He prepared his *NOTES* thoroughly.,"It is his notes that were prepared thoroughly, not something else.",Er bereitete seine Notizen besonders gründlich vor.,data/sentence_stress/wavs/10112/10112_2_2.wav
65,Her question was about audience engagement.,Sentence Stress,Contrastive Stress (General),Public Speaking,10114,1,Her *QUESTION* was about audience engagement.,The emphasis is on her asking a question.,Ihre Frage betraf die Einbindung des Publikums.,data/sentence_stress/wavs/10114/10114_1_2.wav,Her question was about *AUDIENCE* engagement.,The focus of her question was specifically on engaging with the audience.,Ihre Frage betraf das Engagement des Publikums.,data/sentence_stress/wavs/10114/10114_2_5.wav
67,She scored the winning goal.,Sentence Stress,Contrastive Stress (General),Sports Commentary,10117,2,She *SCORED* the winning goal.,"She was the one who scored the goal, not assisted or did something else.",Sie erzielte das Siegtor.,data/sentence_stress/wavs/10117/10117_1_1.wav,She scored the *WINNING* goal.,"She scored the goal that won the game, not just any goal.",Sie schoss das Siegtor.,data/sentence_stress/wavs/10117/10117_2_1.wav
68,The coach made a controversial decision.,Sentence Stress,Contrastive Stress (General),Sports Commentary,10119,2,The *COACH* made a controversial decision.,"The coach, not some other team member, made the decision.",Der Trainer selbst traf eine umstrittene Entscheidung,data/sentence_stress/wavs/10119/10119_1_3.wav,The coach made a *CONTROVERSIAL* decision.,The decision made by the coach was controversial.,Der Trainer traf eine sehr umstrittene Entscheidung,data/sentence_stress/wavs/10119/10119_2_0.wav
69,She clinched the match with that serve.,Sentence Stress,Contrastive Stress (General),Sports Commentary,10121,2,She *CLINCHED* the match with that serve.,She secured the match's victory with that serve.,Sie sicherte den Sieg mit diesem Aufschlag.,data/sentence_stress/wavs/10121/10121_1_1.wav,She clinched the *MATCH* with that serve.,"It was the match, not just a point or set, that she clinched with the serve.",Sie entschied das Match mit diesem Aufschlag.,data/sentence_stress/wavs/10121/10121_2_5.wav
70,He finally broke his opponent's serve.,Sentence Stress,Contrastive Stress (General),Sports Commentary,10123,1,He *FINALLY* broke his opponent's serve.,"It took a long time, but he broke the serve.",Endlich hat er den Aufschlag seines Gegners durchbrochen.,data/sentence_stress/wavs/10123/10123_1_2.wav,He finally broke his *OPPONENT'S* serve.,"The serve he broke was his opponent's, not someone else's.",Er hat schließlich den Aufschlag seines Gegners durchbrochen.,data/sentence_stress/wavs/10123/10123_2_5.wav
72,The fans love the changes we've made in this season.,Sentence Stress,Contrastive Stress (General),Television Interviews,10127,1,The *FANS* love the changes we've made in this season.,It's the fans specifically who appreciate the changes.,"Gerade die Fans lieben die Änderungen, die wir in dieser Saison gemacht haben",data/sentence_stress/wavs/10127/10127_1_2.wav,The fans love the *CHANGES* we've made in this season.,The focus is on the changes themselves that are loved.,"Die Fans lieben besonders die Änderungen, die wir in dieser Saison gemacht haben",data/sentence_stress/wavs/10127/10127_2_0.wav
73,She praised the director for the new approach.,Sentence Stress,Contrastive Stress (General),Television Interviews,10128,1,She praised the *DIRECTOR* for the new approach.,"The praise was directed specifically at the director, not someone else.",Sie lobte den Direktor persönlich für den neuen Ansatz.,data/sentence_stress/wavs/10128/10128_1_4.wav,She praised the director for the new *APPROACH*.,The new approach was specifically what earned the praise.,"Sie lobte den Direktor für den neuen, innovativen Ansatz.",data/sentence_stress/wavs/10128/10128_2_2.wav
74,The show was nominated for an award this year.,Sentence Stress,Contrastive Stress (General),Television Interviews,10129,1,The *SHOW* was nominated for an award this year.,"It was the show, not an individual or another project, that was nominated.",Die Sendung selbst wurde dieses Jahr für einen Preis nominiert.,data/sentence_stress/wavs/10129/10129_1_3.wav,The show was nominated for an *AWARD* this year.,"An award was the achievement, not something else like a grant.",Die Sendung wurde dieses Jahr für eine Auszeichnung nominiert.,data/sentence_stress/wavs/10129/10129_2_5.wav
75,The actor's performance was truly outstanding.,Sentence Stress,Contrastive Stress (General),Television Interviews,10131,1,The *ACTOR'S* performance was truly outstanding.,"It was specifically the actor's performance, not, say, the director's contribution.",Die Darstellung des Schauspielers war wirklich herausragend.,data/sentence_stress/wavs/10131/10131_1_5.wav,The actor's *PERFORMANCE* was truly outstanding.,"It was the performance that was outstanding, not another aspect like the costume or dialogue.",Die schauspielerische Leistung war wirklich herausragend.,data/sentence_stress/wavs/10131/10131_2_4.wav
76,We are particularly proud of this documentary.,Sentence Stress,Contrastive Stress (General),Television Interviews,10133,1,We are particularly proud of *THIS* documentary.,"The pride is in this specific documentary, not another one.",Wir sind besonders stolz auf genau diese Dokumentation.,data/sentence_stress/wavs/10133/10133_1_2.wav,We are particularly proud of this *DOCUMENTARY*.,"The fact that it's a documentary, not a different type of program, is what makes them proud.",Wir sind besonders stolz auf diese Dokumentation.,data/sentence_stress/wavs/10133/10133_2_5.wav
77,This product will change the way you live.,Sentence Stress,Contrastive Stress (General),Advertising,10135,1,This *PRODUCT* will change the way you live.,"This specific product, not any other one, will change your life.",Genau dieses Produkt wird Ihre Lebensweise verändern.,data/sentence_stress/wavs/10135/10135_1_3.wav,This product will change the way *YOU* live.,"The way you live will change, not the way someone else lives.",Dieses Produkt wird Ihre persönliche Lebensweise verändern.,data/sentence_stress/wavs/10135/10135_2_4.wav
78,We offer the best services in the city.,Sentence Stress,Contrastive Stress (General),Advertising,10140,1,We offer the *BEST* services in the city.,The quality of our services is superior.,Wir bieten die hochwertigsten Dienstleistungen der Stadt an.,data/sentence_stress/wavs/10140/10140_1_2.wav,We offer the best services in the *CITY*.,The geographical focus is within the city.,Wir bieten die besten Dienstleistungen der Stadt an.,data/sentence_stress/wavs/10140/10140_2_1.wav
79,You deserve our premium package.,Sentence Stress,Contrastive Stress (General),Advertising,10142,2,*YOU* deserve our premium package.,"You, specifically, deserve the package.",Du verdienst genau unser Premium-Paket.,data/sentence_stress/wavs/10142/10142_1_2.wav,You deserve our *PREMIUM* package.,The package you deserve is the premium one.,Du verdienst unser exklusives Premium-Paket.,data/sentence_stress/wavs/10142/10142_2_4.wav
80,We will target five new markets this quarter.,Sentence Stress,Contrastive Stress (General),Marketing Presentations,10145,1,We will target *FIVE* new markets this quarter.,"The emphasis is on the number five, as a significant quantity.",Wir werden in diesem Quartal ganze fünf neue Märkte anvisieren.,data/sentence_stress/wavs/10145/10145_1_0.wav,We will target five new *MARKETS* this quarter.,"The emphasis is on the fact that the focus is on markets, not other aspects.",Wir werden in diesem Quartal fünf neue Märkte anvisieren.,data/sentence_stress/wavs/10145/10145_2_5.wav
81,The product launch was very successful.,Sentence Stress,Contrastive Stress (General),Marketing Presentations,10146,2,The *PRODUCT* launch was very successful.,"Emphasizes that it was specifically the product launch that was successful, possibly in contrast to other events.",Der Start des Produkts war sehr erfolgreich.,data/sentence_stress/wavs/10146/10146_1_2.wav,The product *LAUNCH* was very successful.,"Highlights the launch event was a success, possibly contrasting with the development phase.",Der Produktstart war sehr erfolgreich.,data/sentence_stress/wavs/10146/10146_2_0.wav
