,sentence,category,subcategory,domain,id,audio_quality,prosody_1,meaning_1,translation_1,audio_1,prosody_2,meaning_2,translation_2,audio_2
50,Sarah will handle the new client meeting.,Sentence Stress,Contrastive Stress (General),Workplace Communication,10079,1,Sarah will *HANDLE* the new client meeting.,"Handling it, rather than assigning it to someone else.",Sarah se hará cargo personalmente de la reunión con el nuevo cliente.,data/sentence_stress/wavs/10079/10079_1_5.wav,Sarah will handle the new *CLIENT* meeting.,"The meeting with the new client, not with any other client.",Sarah se encargará de la reunión con el nuevo cliente.,data/sentence_stress/wavs/10079/10079_2_0.wav
51,I thought you liked talking about your feelings.,Sentence Stress,Contrastive Stress (General),Therapy Sessions,10085,1,I thought *YOU* liked talking about your feelings.,"I thought you, not someone else, liked talking about your feelings.",Pensé que a ti te gustaba hablar de tus sentimientos.,data/sentence_stress/wavs/10085/10085_1_2.wav,I thought you liked talking about *YOUR* feelings.,"I thought you liked talking about your own feelings, not someone else's.",Pensé que te gustaba hablar de tus propios sentimientos.,data/sentence_stress/wavs/10085/10085_2_1.wav
54,You've made significant progress in therapy.,Sentence Stress,Contrastive Stress (General),Therapy Sessions,10092,1,*YOU'VE* made significant progress in therapy.,"You, not someone else, have made significant progress in therapy.",Tú has hecho un progreso significativo en la terapia.,data/sentence_stress/wavs/10092/10092_1_0.wav,You've made significant *PROGRESS* in therapy.,"You've made significant progress, not just any type of change, in therapy.",Has hecho un gran progreso en la terapia.,data/sentence_stress/wavs/10092/10092_2_0.wav
55,John thinks the sessions are very beneficial.,Sentence Stress,Contrastive Stress (General),Therapy Sessions,10093,1,*JOHN* thinks the sessions are very beneficial.,"John, not someone else, thinks the sessions are very beneficial.",Juan es quien piensa que las sesiones son muy beneficiosas.,data/sentence_stress/wavs/10093/10093_1_1.wav,John thinks the *SESSIONS* are very beneficial.,"John thinks the sessions, not something else, are very beneficial.",Juan piensa que las sesiones son muy beneficiosas.,data/sentence_stress/wavs/10093/10093_2_5.wav
56,The headline was changed after the meeting.,Sentence Stress,Contrastive Stress (General),Journalism,10097,1,The *HEADLINE* was changed after the meeting.,"It was the headline that was changed, not another element.",La titular fue cambiada después de la reunión.,data/sentence_stress/wavs/10097/10097_1_3.wav,The headline was changed after the *MEETING*.,"The change happened after the meeting, not before.",La titular fue cambiada una vez terminada la reunión.,data/sentence_stress/wavs/10097/10097_2_4.wav
57,The journalist interviewed the mayor on Tuesday.,Sentence Stress,Contrastive Stress (General),Journalism,10098,1,The *JOURNALIST* interviewed the mayor on Tuesday.,"It was the journalist, not another person, who did the interview.",Fue el periodista quien entrevistó al alcalde el martes.,data/sentence_stress/wavs/10098/10098_1_2.wav,The journalist interviewed the *MAYOR* on Tuesday.,"The interviewee was the mayor, not someone else.",El periodista entrevistó al alcalde el martes.,data/sentence_stress/wavs/10098/10098_2_3.wav
58,The article was published in the local newspaper.,Sentence Stress,Contrastive Stress (General),Journalism,10099,1,The *ARTICLE* was published in the local newspaper.,"It was the article that was published, not something else.",El artículo fue publicado en el diario local,data/sentence_stress/wavs/10099/10099_1_3.wav,The article was published in the *LOCAL* newspaper.,"The publication was in the local newspaper, not a different one.",El artículo fue publicado en el periódico local,data/sentence_stress/wavs/10099/10099_2_1.wav
59,The reporter covered the event live from the scene.,Sentence Stress,Contrastive Stress (General),Journalism,10100,1,The *REPORTER* covered the event live from the scene.,"It was the reporter, not someone else, who covered the event.",Fue el reportero quien cubrió el evento en vivo desde el lugar,data/sentence_stress/wavs/10100/10100_1_2.wav,The reporter covered the *EVENT* live from the scene.,"The event was covered live from the scene, not another event.",El reportero cubrió ese evento en vivo desde el lugar,data/sentence_stress/wavs/10100/10100_2_1.wav
62,We need to engage the audience more effectively.,Sentence Stress,Contrastive Stress (General),Public Speaking,10106,1,We need to *ENGAGE* the audience more effectively.,Our focus should be on keeping the audience interested.,Necesitamos involucrar al público de manera más efectiva.,data/sentence_stress/wavs/10106/10106_1_0.wav,We need to engage the *AUDIENCE* more effectively.,The priority should be on interacting with the audience specifically.,Necesitamos involucrar específicamente al público de manera más efectiva.,data/sentence_stress/wavs/10106/10106_2_4.wav
63,He has to adjust his tone during the presentation.,Sentence Stress,Contrastive Stress (General),Public Speaking,10107,2,He has to *ADJUST* his tone during the presentation.,The action needed is to modify his tone.,Él tiene que ajustar su tono durante la presentación,data/sentence_stress/wavs/10107/10107_1_5.wav,He has to adjust his *TONE* during the presentation.,"It is his tone, not something else, that requires adjustment.",Él tiene que modificar su tono durante la presentación,data/sentence_stress/wavs/10107/10107_2_0.wav
64,Focus on your delivery to improve your speech.,Sentence Stress,Contrastive Stress (General),Public Speaking,10109,2,Focus on your *DELIVERY* to improve your speech.,The method of delivering the speech is what needs attention.,Concéntrate en la manera de entregar para mejorar tu discurso.,data/sentence_stress/wavs/10109/10109_1_5.wav,Focus on *YOUR* delivery to improve your speech.,"It's your own delivery, not someone else's, that should be focused on.",Concéntrate en tu propia entrega para mejorar tu discurso.,data/sentence_stress/wavs/10109/10109_2_0.wav
66,He prepared his notes thoroughly.,Sentence Stress,Contrastive Stress (General),Public Speaking,10112,2,He *PREPARED* his notes thoroughly.,The emphasis is on the act of preparation.,Preparó sus apuntes a fondo.,data/sentence_stress/wavs/10112/10112_1_5.wav,He prepared his *NOTES* thoroughly.,"It is his notes that were prepared thoroughly, not something else.",Él se encargó de preparar sus apuntes a fondo.,data/sentence_stress/wavs/10112/10112_2_2.wav
67,The team won the championship.,Sentence Stress,Contrastive Stress (General),Sports Commentary,10115,1,The *TEAM* won the championship.,"The team, not individual players, won the championship.",Fue el equipo el que ganó el campeonato,data/sentence_stress/wavs/10115/10115_1_2.wav,The team won the *CHAMPIONSHIP*.,"The team won the championship, not just a regular game.",El equipo ganó el campeonato,data/sentence_stress/wavs/10115/10115_2_3.wav
70,She clinched the match with that serve.,Sentence Stress,Contrastive Stress (General),Sports Commentary,10121,2,She *CLINCHED* the match with that serve.,She secured the match's victory with that serve.,Ella aseguró la victoria del partido con ese saque.,data/sentence_stress/wavs/10121/10121_1_1.wav,She clinched the *MATCH* with that serve.,"It was the match, not just a point or set, that she clinched with the serve.",Ella aseguró el partido con ese saque.,data/sentence_stress/wavs/10121/10121_2_5.wav
71,The player remained calm under pressure.,Sentence Stress,Contrastive Stress (General),Sports Commentary,10124,2,The *PLAYER* remained calm under pressure.,"It was the player, rather than someone else, who remained calm.",Fue el jugador quien se mantuvo calmado bajo presión,data/sentence_stress/wavs/10124/10124_1_2.wav,The player remained *CALM* under pressure.,The player's state of mind was calm under pressure.,El jugador se mantuvo calmado bajo presión,data/sentence_stress/wavs/10124/10124_2_4.wav
72,The fans love the changes we've made in this season.,Sentence Stress,Contrastive Stress (General),Television Interviews,10127,1,The *FANS* love the changes we've made in this season.,It's the fans specifically who appreciate the changes.,Son los aficionados los que aman los cambios que hemos hecho en esta temporada.,data/sentence_stress/wavs/10127/10127_1_2.wav,The fans love the *CHANGES* we've made in this season.,The focus is on the changes themselves that are loved.,A los aficionados les encantan los cambios que hemos hecho en esta temporada.,data/sentence_stress/wavs/10127/10127_2_0.wav
73,She praised the director for the new approach.,Sentence Stress,Contrastive Stress (General),Television Interviews,10128,1,She praised the *DIRECTOR* for the new approach.,"The praise was directed specifically at the director, not someone else.",Ella elogió al director en particular por el nuevo enfoque,data/sentence_stress/wavs/10128/10128_1_4.wav,She praised the director for the new *APPROACH*.,The new approach was specifically what earned the praise.,Ella elogió al director por el nuevo enfoque,data/sentence_stress/wavs/10128/10128_2_2.wav
74,The show was nominated for an award this year.,Sentence Stress,Contrastive Stress (General),Television Interviews,10129,1,The *SHOW* was nominated for an award this year.,"It was the show, not an individual or another project, that was nominated.",El programa fue nominado para un premio este año.,data/sentence_stress/wavs/10129/10129_1_3.wav,The show was nominated for an *AWARD* this year.,"An award was the achievement, not something else like a grant.",El programa fue nominado para un galardón este año.,data/sentence_stress/wavs/10129/10129_2_5.wav
75,The actor's performance was truly outstanding.,Sentence Stress,Contrastive Stress (General),Television Interviews,10131,1,The *ACTOR'S* performance was truly outstanding.,"It was specifically the actor's performance, not, say, the director's contribution.",La actuación del actor fue la que realmente sobresalió.,data/sentence_stress/wavs/10131/10131_1_5.wav,The actor's *PERFORMANCE* was truly outstanding.,"It was the performance that was outstanding, not another aspect like the costume or dialogue.",La actuación del actor fue realmente sobresaliente.,data/sentence_stress/wavs/10131/10131_2_4.wav
76,This product will change the way you live.,Sentence Stress,Contrastive Stress (General),Advertising,10135,1,This *PRODUCT* will change the way you live.,"This specific product, not any other one, will change your life.",Este producto cambiará tu manera de vivir.,data/sentence_stress/wavs/10135/10135_1_3.wav,This product will change the way *YOU* live.,"The way you live will change, not the way someone else lives.",Este producto cambiará tu forma de vivir.,data/sentence_stress/wavs/10135/10135_2_4.wav
79,You can't find a better car than this.,Sentence Stress,Contrastive Stress (General),Advertising,10139,2,*YOU* can't find a better car than this.,It's impossible for you (as opposed to others) to find a better car.,Tú no puedes encontrar un coche mejor que este.,data/sentence_stress/wavs/10139/10139_1_4.wav,You can't find a *BETTER* car than this.,A superior car simply doesn't exist.,No puedes encontrar un coche mejor que este.,data/sentence_stress/wavs/10139/10139_2_1.wav
80,This event will make a big difference.,Sentence Stress,Contrastive Stress (General),Advertising,10141,2,This *EVENT* will make a big difference.,This particular event will have a significant impact.,Este evento marcará una gran diferencia,data/sentence_stress/wavs/10141/10141_1_1.wav,This event will make a *BIG* difference.,The scale of the difference made will be large.,Este evento marcará una diferencia enorme,data/sentence_stress/wavs/10141/10141_2_5.wav
81,You deserve our premium package.,Sentence Stress,Contrastive Stress (General),Advertising,10142,2,*YOU* deserve our premium package.,"You, specifically, deserve the package.",Tú te mereces nuestro paquete premium.,data/sentence_stress/wavs/10142/10142_1_2.wav,You deserve our *PREMIUM* package.,The package you deserve is the premium one.,Te mereces nuestro paquete de primera categoría.,data/sentence_stress/wavs/10142/10142_2_4.wav
83,We must increase our social media presence.,Sentence Stress,Contrastive Stress (General),Marketing Presentations,10148,1,We must *INCREASE* our social media presence.,Emphasizes the action of increasing more than maintaining or decreasing.,Debemos incrementar nuestra presencia en las redes sociales.,data/sentence_stress/wavs/10148/10148_1_0.wav,We must increase our *SOCIAL MEDIA* presence.,Highlights the focus on social media as opposed to other channels.,Debemos aumentar nuestra presencia en las redes sociales.,data/sentence_stress/wavs/10148/10148_2_2.wav
85,The market research indicates significant growth.,Sentence Stress,Contrastive Stress (General),Marketing Presentations,10154,1,The *MARKET* research indicates significant growth.,"Focuses on the fact that it is market research, not another kind of research.",La investigación de mercado indica un crecimiento significativo,data/sentence_stress/wavs/10154/10154_1_2.wav,The market research indicates *SIGNIFICANT* growth.,Stresses the substantial nature of the growth indicated by the research.,El estudio de mercado indica un gran crecimiento,data/sentence_stress/wavs/10154/10154_2_0.wav
86,The patient needs to follow the medication schedule.,Sentence Stress,Contrastive Stress (General),Medical Consultations,10155,1,The *PATIENT* needs to follow the medication schedule.,"Not the doctor or nurse, but the patient has to follow it.",Es el paciente quien necesita seguir el horario de medicación.,data/sentence_stress/wavs/10155/10155_1_0.wav,The patient needs to follow the *MEDICATION* schedule.,"It's specifically the medication schedule the patient needs to follow, not another type of schedule.",El paciente necesita seguir el horario específico de medicación.,data/sentence_stress/wavs/10155/10155_2_0.wav
88,You need to avoid sugary drinks.,Sentence Stress,Contrastive Stress (General),Medical Consultations,10157,2,You need to *AVOID* sugary drinks.,"You should completely avoid them, not just limit intake.",Necesitas evitar totalmente las bebidas azucaradas.,data/sentence_stress/wavs/10157/10157_1_5.wav,You need to avoid *SUGARY* drinks.,"Sugary drinks specifically should be avoided, not other types of drinks.",Necesitas evitar las bebidas azucaradas.,data/sentence_stress/wavs/10157/10157_2_0.wav
89,This medicine should be taken before meals.,Sentence Stress,Contrastive Stress (General),Medical Consultations,10158,1,This *MEDICINE* should be taken before meals.,"It's specifically this medicine that needs to be taken before meals, not another one.",Esta medicina en particular debe tomarse antes de las comidas,data/sentence_stress/wavs/10158/10158_1_3.wav,This medicine should be taken before *MEALS*.,"The timing is before meals, not during or after.",Esta medicina debe tomarse antes de las comidas,data/sentence_stress/wavs/10158/10158_2_5.wav
90,He doesn't need a prescription for the over-the-counter drugs.,Sentence Stress,Contrastive Stress (General),Medical Consultations,10159,1,He doesn't need a *PRESCRIPTION* for the over-the-counter drugs.,No prescription is required for these drugs specifically.,Él no necesita una receta para los medicamentos de venta libre.,data/sentence_stress/wavs/10159/10159_1_2.wav,He doesn't need a prescription for the *OVER-THE-COUNTER* drugs.,"The over-the-counter drugs specifically don't require a prescription, implying prescription drugs do.",Para los medicamentos de venta libre no necesita una receta.,data/sentence_stress/wavs/10159/10159_2_5.wav
91,She should visit the specialist for a consultation.,Sentence Stress,Contrastive Stress (General),Medical Consultations,10162,1,She should visit the *SPECIALIST* for a consultation.,"It's important that she sees a specialist, not a general practitioner.",Ella debería visitar al especialista para una consulta.,data/sentence_stress/wavs/10162/10162_1_3.wav,She should visit the specialist for a *CONSULTATION*.,"The visit is for a consultation specifically, not for any other purpose.",Ella debería visitar al especialista específicamente para una consulta.,data/sentence_stress/wavs/10162/10162_2_4.wav
