,sentence,category,subcategory,domain,id,audio_quality,prosody_1,meaning_1,translation_1,audio_1,prosody_2,meaning_2,translation_2,audio_2
11,Our team clearly won the debate last night.,Sentence Stress,Contrastive Stress (General),Debate Competitions,10017,2,Our *TEAM* clearly won the debate last night.,"It was our team that won, not the other team.",勝ったのは私たちのチームです。昨夜の討論で明らかに勝ちました。,data/sentence_stress/wavs/10017/10017_1_2.wav,Our team *CLEARLY* won the debate last night.,There was no doubt or ambiguity in the victory.,私たちのチームは昨夜の討論で疑いもなく勝ちました。,data/sentence_stress/wavs/10017/10017_2_5.wav
12,They focused on environmental issues.,Sentence Stress,Contrastive Stress (General),Debate Competitions,10019,2,They *FOCUSED* on environmental issues.,Their main attention was directed towards environmental issues.,彼らは環境問題に焦点を当てた。,data/sentence_stress/wavs/10019/10019_1_2.wav,They focused on *ENVIRONMENTAL* issues.,The specific issues they concentrated on were environmental in nature.,彼らは環境問題に主に焦点を当てた。,data/sentence_stress/wavs/10019/10019_2_4.wav
13,She questioned the underlying assumptions.,Sentence Stress,Contrastive Stress (General),Debate Competitions,10024,1,She *QUESTIONED* the underlying assumptions.,Her action was to challenge or interrogate the assumptions.,彼女は根本的な仮定を疑いました。,data/sentence_stress/wavs/10024/10024_1_2.wav,She questioned the *UNDERLYING* assumptions.,"It was the fundamental premises she questioned, not superficial ones.",彼女は根底にある前提を疑いました。,data/sentence_stress/wavs/10024/10024_2_5.wav
14,He barely addressed the economic consequences.,Sentence Stress,Contrastive Stress (General),Debate Competitions,10025,1,He *BARELY* addressed the economic consequences.,He hardly spoke about the economic consequences.,彼は経済的な結果にはほとんど触れなかった。,data/sentence_stress/wavs/10025/10025_1_2.wav,He barely addressed the *ECONOMIC* consequences.,The consequences he barely talked about were economic in nature.,彼がほとんど触れなかったのは経済的な結果だった。,data/sentence_stress/wavs/10025/10025_2_4.wav
15,They must address the country's economic issues.,Sentence Stress,Contrastive Stress (General),Political Speeches,10026,1,They must address the *COUNTRY'S* economic issues.,It is the national economic issues that need addressing.,彼らは国家の経済問題に取り組まなければならない。,data/sentence_stress/wavs/10026/10026_1_0.wav,They must address the country's *ECONOMIC* issues.,"It is specifically the economic issues that need addressing, not others.",彼らは国の経済問題に取り組まなければならない。,data/sentence_stress/wavs/10026/10026_2_0.wav
16,We need to reform the education system.,Sentence Stress,Contrastive Stress (General),Political Speeches,10028,1,We need to *REFORM* the education system.,We need to make changes or improvements to the education system.,教育システムを改革する必要があります,data/sentence_stress/wavs/10028/10028_1_5.wav,We need to reform the *EDUCATION* system.,"It is the education system that specifically needs reforming, not another system.",教育システムこそ改革する必要があります,data/sentence_stress/wavs/10028/10028_2_2.wav
17,We must improve relations with neighboring countries.,Sentence Stress,Contrastive Stress (General),Political Speeches,10030,1,We must *IMPROVE* relations with neighboring countries.,"Our goal should be to enhance, not just maintain, relations.",私たちは近隣諸国との関係を改善しなければなりません。,data/sentence_stress/wavs/10030/10030_1_5.wav,We must improve relations with *NEIGHBORING* countries.,"We need to focus on improving relations with neighboring countries specifically, not distant ones.",私たちは特に近隣諸国との関係を改善しなければなりません。,data/sentence_stress/wavs/10030/10030_2_5.wav
18,The government is focusing on climate change.,Sentence Stress,Contrastive Stress (General),Political Speeches,10032,1,The *GOVERNMENT* is focusing on climate change.,"It is the government, as opposed to other organizations, that is focusing on climate change.",政府こそが気候変動に注力している,data/sentence_stress/wavs/10032/10032_1_3.wav,The government is focusing on *CLIMATE* change.,The government is concentrating their efforts on climate change specifically.,政府は特に気候変動に注力している,data/sentence_stress/wavs/10032/10032_2_0.wav
19,They are discussing plans for the new infrastructure.,Sentence Stress,Contrastive Stress (General),Political Speeches,10034,1,They are discussing *PLANS* for the new infrastructure.,The focus of the discussion is on the plans for the new infrastructure.,彼らは新しいインフラのための計画について話し合っています。,data/sentence_stress/wavs/10034/10034_1_2.wav,They are discussing plans for the *NEW* infrastructure.,"The infrastructure being planned is new, not existing or old.",彼らは新設のインフラの計画について話し合っています。,data/sentence_stress/wavs/10034/10034_2_4.wav
21,We can only offer a discount on selected items.,Sentence Stress,Contrastive Stress (General),Customer Service,10039,1,We can only offer a *DISCOUNT* on selected items.,"We cannot offer other benefits like freebies or exchanges, only a discount.",選ばれた商品にだけ割引を提供できます。,data/sentence_stress/wavs/10039/10039_1_2.wav,We can only offer a discount on *SELECTED* items.,"Not all items are eligible for the discount, only certain ones.",一部の商品にのみ割引を提供できます。,data/sentence_stress/wavs/10039/10039_2_4.wav
22,Your request will be processed by Friday.,Sentence Stress,Contrastive Stress (General),Customer Service,10040,2,Your *REQUEST* will be processed by Friday.,It is your specific request that will be processed within this timeframe.,あなたのリクエストは金曜日までに処理されます,data/sentence_stress/wavs/10040/10040_1_3.wav,Your request will be processed by *FRIDAY*.,"The processing will be completed by Friday, not another day.",あなたのリクエスト内容は金曜日までに処理されます,data/sentence_stress/wavs/10040/10040_2_1.wav
23,We can't accept returns without a receipt.,Sentence Stress,Contrastive Stress (General),Customer Service,10041,2,We can't *ACCEPT* returns without a receipt.,Acceptance of returns is not feasible without a receipt.,レシートなしでは返品の受付はできません。,data/sentence_stress/wavs/10041/10041_1_2.wav,We can't accept *RETURNS* without a receipt.,"Returns specifically, not exchanges or refunds, are not feasible without a receipt.",レシートなしでは返品は受け付けられません。,data/sentence_stress/wavs/10041/10041_2_5.wav
24,You need to submit the form online.,Sentence Stress,Contrastive Stress (General),Customer Service,10044,2,You need to *SUBMIT* the form online.,The action of submitting is mandatory.,オンラインでフォームを提出する必要があります。,data/sentence_stress/wavs/10044/10044_1_0.wav,You need to submit the *FORM* online.,"It is the form that needs to be submitted, not something else.",オンラインで提出する必要があるのはフォームです。,data/sentence_stress/wavs/10044/10044_2_4.wav
25,We offer technical support via email.,Sentence Stress,Contrastive Stress (General),Customer Service,10045,2,We offer *TECHNICAL* support via email.,"The support provided is specifically technical, not general or customer service.",私たちはメールで専門的な技術サポートを提供します。,data/sentence_stress/wavs/10045/10045_1_0.wav,We offer technical support via *EMAIL*.,"The medium of support is via email, not phone or chat.",私たちはメールを通じて技術サポートを提供します。,data/sentence_stress/wavs/10045/10045_2_5.wav
26,You should apologize to your sister.,Sentence Stress,Contrastive Stress (General),Parenting,10048,2,You should *APOLOGIZE* to your sister.,"Apologizing is the action you need to take, not something else.",あなたは妹に謝罪するべきです,data/sentence_stress/wavs/10048/10048_1_5.wav,You should apologize to your *SISTER*.,"Apologizing should be directed to your sister, not to someone else.",あなたは妹に謝るべきです,data/sentence_stress/wavs/10048/10048_2_2.wav
27,He needs to finish his homework before dinner.,Sentence Stress,Contrastive Stress (General),Parenting,10049,2,He needs to *FINISH* his homework before dinner.,"Completing the homework is required, not starting or just working on it.",彼は夕食前に宿題を必ず終える必要がある,data/sentence_stress/wavs/10049/10049_1_5.wav,He needs to finish *HIS* homework before dinner.,"He needs to finish the homework assigned specifically to him, not someone else's.",彼は夕食前に自分の宿題を終える必要がある,data/sentence_stress/wavs/10049/10049_2_3.wav
28,Don't forget to pack their lunch.,Sentence Stress,Contrastive Stress (General),Parenting,10050,2,Don't forget to *PACK* their lunch.,"Packing is the specific task not to be forgotten, not another task related to lunch.",忘れずにお弁当を詰めてください。,data/sentence_stress/wavs/10050/10050_1_5.wav,Don't forget to pack *THEIR* lunch.,"It is essential to pack lunch for them, not someone else.",忘れずに彼らのお弁当を持っていってください。,data/sentence_stress/wavs/10050/10050_2_1.wav
29,They must clean up before going to bed.,Sentence Stress,Contrastive Stress (General),Parenting,10051,1,They must *CLEAN* up before going to bed.,"Cleaning up is the necessary action, not another pre-bedtime task.",彼らは寝る前に掃除しなければならない。,data/sentence_stress/wavs/10051/10051_1_3.wav,They must clean up before going to *BED*.,"Cleaning must be done before going to sleep, not before doing something else.",彼らは寝る前に片付けなければならない。,data/sentence_stress/wavs/10051/10051_2_1.wav
30,You have to finish your vegetables.,Sentence Stress,Contrastive Stress (General),Parenting,10054,2,You have to *FINISH* your vegetables.,"The vegetables need to be completely eaten, not partially eaten.",野菜を全部食べ終えなければならない,data/sentence_stress/wavs/10054/10054_1_5.wav,You have to finish *YOUR* vegetables.,"You need to eat the vegetables on your plate, not someone else's vegetables.",自分の野菜を食べ終えなければならない,data/sentence_stress/wavs/10054/10054_2_5.wav
32,The professor explained the topic to the students.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10056,1,The *PROFESSOR* explained the topic to the students.,"It was the professor, not someone else, who explained the topic.",他の誰でもなく教授が学生にそのトピックを説明しました。,data/sentence_stress/wavs/10056/10056_1_3.wav,The professor explained the *TOPIC* to the students.,"It was the specific topic, not something else, that was explained.",教授は学生にそのトピックを説明しました。,data/sentence_stress/wavs/10056/10056_2_5.wav
34,Sarah will present her project today.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10058,1,Sarah will present *HER* project today.,"It is Sarah's own project, not anyone else's.",サラは今日、自分自身のプロジェクトを発表します。,data/sentence_stress/wavs/10058/10058_1_0.wav,Sarah will present her *PROJECT* today.,"It's her project, not something else, that will be presented today.",サラは今日、自分のプロジェクトを発表します。,data/sentence_stress/wavs/10058/10058_2_5.wav
35,You need to read the entire book by next week.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10060,2,You need to *READ* the entire book by next week.,"The emphasis is on reading, not anything else.",来週までにその本を最後まで読む必要があります。,data/sentence_stress/wavs/10060/10060_1_0.wav,You need to read the *ENTIRE* book by next week.,"The whole book, not just part of it, needs to be read.",来週までにその本を全部読む必要があります。,data/sentence_stress/wavs/10060/10060_2_4.wav
36,She got an A on her final paper.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10061,1,She got an *A* on her final paper.,"The grade A was received, not any other grade.",彼女は期末レポートでAを取ったんだ,data/sentence_stress/wavs/10061/10061_1_3.wav,She got an A on her *FINAL* paper.,"It was the final paper, not any other paper, on which she got an A.",彼女は最後のレポートでAを取った,data/sentence_stress/wavs/10061/10061_2_2.wav
37,They decided to study together.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10062,2,They *DECIDED* to study together.,The group made a decision to study together.,彼らは一緒に勉強することを決断しました。,data/sentence_stress/wavs/10062/10062_1_1.wav,They decided to *STUDY* together.,"The decision was specifically to study, not to do something else, together.",彼らは一緒に勉強することに決めたのです。,data/sentence_stress/wavs/10062/10062_2_5.wav
38,The teacher marked the tests.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10064,1,The *TEACHER* marked the tests.,"It was the teacher, not someone else, who marked the tests.",教師本人がテストを採点した,data/sentence_stress/wavs/10064/10064_1_1.wav,The teacher marked the *TESTS*.,"The tests, not any other type of work, were marked.",教師がテストを採点した,data/sentence_stress/wavs/10064/10064_2_2.wav
39,You need to complete this assignment by tomorrow.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10066,2,You need to complete *THIS* assignment by tomorrow.,"This specific assignment, not another one, needs to be completed.",あなたはこの特定の課題を明日までに完成させる必要があります,data/sentence_stress/wavs/10066/10066_1_3.wav,You need to complete this assignment by *TOMORROW*.,"The assignment needs to be completed by tomorrow, not any other day.",あなたはこの課題を明日までに必ず完成させる必要があります,data/sentence_stress/wavs/10066/10066_2_4.wav
40,I can help you with your homework after class.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10070,1,I can *HELP* you with your homework after class.,"It is help, not something else, that I can provide.",クラスの後で宿題の手助けができます。,data/sentence_stress/wavs/10070/10070_1_2.wav,I can help you with your *HOMEWORK* after class.,"It is your homework, not another activity, that I can help with.",クラスの後で宿題を手伝えます。,data/sentence_stress/wavs/10070/10070_2_5.wav
44,I thought the report was due today.,Sentence Stress,Contrastive Stress (General),Workplace Communication,10075,2,I *THOUGHT* the report was due today.,"It was my belief, but now I'm unsure.",今日が締め切りだと思っていました。,data/sentence_stress/wavs/10075/10075_1_5.wav,I thought the *REPORT* was due today.,"Something else, not the report, is due today.",レポートの締め切りは今日だと思っていました。,data/sentence_stress/wavs/10075/10075_2_2.wav
45,They need to finish the project by Friday.,Sentence Stress,Contrastive Stress (General),Workplace Communication,10076,1,They *NEED* to finish the project by Friday.,It is necessary for them to finish it by Friday.,彼らは金曜日までにプロジェクトを必ず終えなければならない,data/sentence_stress/wavs/10076/10076_1_5.wav,They need to finish the *PROJECT* by Friday.,"Something else, not the project, might not need to be finished by Friday.",彼らは金曜日までにこのプロジェクトを終える必要がある,data/sentence_stress/wavs/10076/10076_2_0.wav
46,We should present the proposal to the CEO.,Sentence Stress,Contrastive Stress (General),Workplace Communication,10077,2,We should *PRESENT* the proposal to the *CEO.*,"Present it, rather than just sending it over.",私たちは提案をCEOに直接提出すべきです。,data/sentence_stress/wavs/10077/10077_1_1.wav,We should present the *PROPOSAL* to the *CEO.*,"Something else, not the proposal, should not be presented to the CEO.",私たちは提案をCEOに提出すべきです。,data/sentence_stress/wavs/10077/10077_2_5.wav
47,Sarah will handle the new client meeting.,Sentence Stress,Contrastive Stress (General),Workplace Communication,10079,1,Sarah will *HANDLE* the new client meeting.,"Handling it, rather than assigning it to someone else.",サラが新しいクライアントのミーティングを仕切ります。,data/sentence_stress/wavs/10079/10079_1_5.wav,Sarah will handle the new *CLIENT* meeting.,"The meeting with the new client, not with any other client.",サラが新しいクライアントのミーティングを担当します。,data/sentence_stress/wavs/10079/10079_2_0.wav
48,We need to approve the budget by today.,Sentence Stress,Contrastive Stress (General),Workplace Communication,10082,2,We *NEED* to approve the budget by today.,It is essential to approve it by today.,私たちは今日中に必ず予算を承認する必要があります。,data/sentence_stress/wavs/10082/10082_1_3.wav,We need to approve the *BUDGET* by today.,"The budget specifically, not some other document.",私たちは今日中に予算を承認する必要があります。,data/sentence_stress/wavs/10082/10082_2_3.wav
49,I thought you liked talking about your feelings.,Sentence Stress,Contrastive Stress (General),Therapy Sessions,10085,1,I thought *YOU* liked talking about your feelings.,"I thought you, not someone else, liked talking about your feelings.",私はあなたが自分の気持ちについて話すのが好きだと思っていた。,data/sentence_stress/wavs/10085/10085_1_2.wav,I thought you liked talking about *YOUR* feelings.,"I thought you liked talking about your own feelings, not someone else's.",私はあなた自身の気持ちについて話すのが好きだと思っていた。,data/sentence_stress/wavs/10085/10085_2_1.wav
50,You're supposed to express your anger.,Sentence Stress,Contrastive Stress (General),Therapy Sessions,10086,2,You're supposed to *EXPRESS* your anger.,"You're supposed to show or communicate your anger, not repress it.",あなたは怒りを表現すべきです,data/sentence_stress/wavs/10086/10086_1_2.wav,You're supposed to express your *ANGER*.,"You're supposed to express anger, not another emotion.",あなたは怒りを表現することになっています,data/sentence_stress/wavs/10086/10086_2_4.wav
51,She said you should start writing a journal.,Sentence Stress,Contrastive Stress (General),Therapy Sessions,10087,2,She said *YOU* should start writing a journal.,"She said you, specifically, should start writing a journal, not someone else.",彼女はあなたにこそ日記を書き始めるように言いました,data/sentence_stress/wavs/10087/10087_1_1.wav,She said you should start writing a *JOURNAL*.,"She said you should start writing a journal, not doing something else.",彼女はあなたに日記を書き始めるように言いました,data/sentence_stress/wavs/10087/10087_2_5.wav
52,She thinks talking about the trauma will help.,Sentence Stress,Contrastive Stress (General),Therapy Sessions,10091,2,She thinks *TALKING* about the trauma will help.,"She thinks talking, not another activity, about the trauma will help.",彼女はトラウマについて話すことが役立つと思っている,data/sentence_stress/wavs/10091/10091_1_4.wav,She thinks talking about the *TRAUMA* will help.,"She thinks talking about the trauma, not another subject, will help.",彼女はトラウマのことについて話すのが役に立つと思っている,data/sentence_stress/wavs/10091/10091_2_5.wav
53,You've made significant progress in therapy.,Sentence Stress,Contrastive Stress (General),Therapy Sessions,10092,1,*YOU'VE* made significant progress in therapy.,"You, not someone else, have made significant progress in therapy.",あなたこそがセラピーで大きな進歩を遂げました,data/sentence_stress/wavs/10092/10092_1_0.wav,You've made significant *PROGRESS* in therapy.,"You've made significant progress, not just any type of change, in therapy.",あなたはセラピーで顕著な進歩を遂げました,data/sentence_stress/wavs/10092/10092_2_0.wav
54,John thinks the sessions are very beneficial.,Sentence Stress,Contrastive Stress (General),Therapy Sessions,10093,1,*JOHN* thinks the sessions are very beneficial.,"John, not someone else, thinks the sessions are very beneficial.",ジョン自身はセッションがとても有益だと思っている,data/sentence_stress/wavs/10093/10093_1_1.wav,John thinks the *SESSIONS* are very beneficial.,"John thinks the sessions, not something else, are very beneficial.",ジョンはセッションこそがとても有益だと思っている,data/sentence_stress/wavs/10093/10093_2_5.wav
55,The journalist interviewed the mayor on Tuesday.,Sentence Stress,Contrastive Stress (General),Journalism,10098,1,The *JOURNALIST* interviewed the mayor on Tuesday.,"It was the journalist, not another person, who did the interview.",火曜日に市長にインタビューしたのはジャーナリストです。,data/sentence_stress/wavs/10098/10098_1_2.wav,The journalist interviewed the *MAYOR* on Tuesday.,"The interviewee was the mayor, not someone else.",ジャーナリストは火曜日に市長にインタビューしました。,data/sentence_stress/wavs/10098/10098_2_3.wav
56,The reporter covered the event live from the scene.,Sentence Stress,Contrastive Stress (General),Journalism,10100,1,The *REPORTER* covered the event live from the scene.,"It was the reporter, not someone else, who covered the event.",そのレポーターが現場から生中継でイベントを報道しました。,data/sentence_stress/wavs/10100/10100_1_2.wav,The reporter covered the *EVENT* live from the scene.,"The event was covered live from the scene, not another event.",レポーターは現場から生中継でそのイベントを報道しました。,data/sentence_stress/wavs/10100/10100_2_1.wav
57,The columnist received an award for her political analysis.,Sentence Stress,Contrastive Stress (General),Journalism,10104,1,The *COLUMNIST* received an award for her political analysis.,"It was the columnist, not someone else, who received the award.",コラムニストこそ彼女の政治分析で賞を受けた,data/sentence_stress/wavs/10104/10104_1_3.wav,The columnist received an award for her *POLITICAL* analysis.,"The award was for her political analysis, not another type of analysis.",コラムニストは彼女の政治分析で賞を受けた,data/sentence_stress/wavs/10104/10104_2_5.wav
58,We need to engage the audience more effectively.,Sentence Stress,Contrastive Stress (General),Public Speaking,10106,1,We need to *ENGAGE* the audience more effectively.,Our focus should be on keeping the audience interested.,観客ともっと効果的に関わる必要があります。,data/sentence_stress/wavs/10106/10106_1_0.wav,We need to engage the *AUDIENCE* more effectively.,The priority should be on interacting with the audience specifically.,観客をもっと効果的に惹きつける必要があります。,data/sentence_stress/wavs/10106/10106_2_4.wav
59,Focus on your delivery to improve your speech.,Sentence Stress,Contrastive Stress (General),Public Speaking,10109,2,Focus on your *DELIVERY* to improve your speech.,The method of delivering the speech is what needs attention.,あなたの話し方を改善するために、話し方の方法に集中しなさい,data/sentence_stress/wavs/10109/10109_1_5.wav,Focus on *YOUR* delivery to improve your speech.,"It's your own delivery, not someone else's, that should be focused on.",あなたの話し方を改善するために、自分の話し方に集中しなさい,data/sentence_stress/wavs/10109/10109_2_0.wav
60,She will speak first in the conference.,Sentence Stress,Contrastive Stress (General),Public Speaking,10110,2,She will *SPEAK* first in the conference.,"She will be the one talking, not doing something else.",彼女が会議で最初に話します。,data/sentence_stress/wavs/10110/10110_1_0.wav,She will speak *FIRST* in the conference.,She will talk before anyone else does at the conference.,彼女が会議で一番最初に話します。,data/sentence_stress/wavs/10110/10110_2_3.wav
61,He prepared his notes thoroughly.,Sentence Stress,Contrastive Stress (General),Public Speaking,10112,2,He *PREPARED* his notes thoroughly.,The emphasis is on the act of preparation.,彼は徹底的に準備をした,data/sentence_stress/wavs/10112/10112_1_5.wav,He prepared his *NOTES* thoroughly.,"It is his notes that were prepared thoroughly, not something else.",彼は彼のノートを徹底的に準備した,data/sentence_stress/wavs/10112/10112_2_2.wav
62,Her question was about audience engagement.,Sentence Stress,Contrastive Stress (General),Public Speaking,10114,1,Her *QUESTION* was about audience engagement.,The emphasis is on her asking a question.,彼女の質問は観客との関与についてでした。,data/sentence_stress/wavs/10114/10114_1_2.wav,Her question was about *AUDIENCE* engagement.,The focus of her question was specifically on engaging with the audience.,彼女の質問は観客の関与についてでした。,data/sentence_stress/wavs/10114/10114_2_5.wav
63,She scored the winning goal.,Sentence Stress,Contrastive Stress (General),Sports Commentary,10117,2,She *SCORED* the winning goal.,"She was the one who scored the goal, not assisted or did something else.",彼女が勝利のゴールを決めた,data/sentence_stress/wavs/10117/10117_1_1.wav,She scored the *WINNING* goal.,"She scored the goal that won the game, not just any goal.",彼女が決勝ゴールを決めた,data/sentence_stress/wavs/10117/10117_2_1.wav
64,She clinched the match with that serve.,Sentence Stress,Contrastive Stress (General),Sports Commentary,10121,2,She *CLINCHED* the match with that serve.,She secured the match's victory with that serve.,彼女はそのサーブで試合を決めました。,data/sentence_stress/wavs/10121/10121_1_1.wav,She clinched the *MATCH* with that serve.,"It was the match, not just a point or set, that she clinched with the serve.",彼女はそのサーブで試合全体を決めました。,data/sentence_stress/wavs/10121/10121_2_5.wav
65,He finally broke his opponent's serve.,Sentence Stress,Contrastive Stress (General),Sports Commentary,10123,1,He *FINALLY* broke his opponent's serve.,"It took a long time, but he broke the serve.",彼はようやく対戦相手のサーブを破った。,data/sentence_stress/wavs/10123/10123_1_2.wav,He finally broke his *OPPONENT'S* serve.,"The serve he broke was his opponent's, not someone else's.",彼はついに対戦相手のサーブを破った。,data/sentence_stress/wavs/10123/10123_2_5.wav
66,The fans love the changes we've made in this season.,Sentence Stress,Contrastive Stress (General),Television Interviews,10127,1,The *FANS* love the changes we've made in this season.,It's the fans specifically who appreciate the changes.,今シーズンに我々が加えた変更をファンが愛している。,data/sentence_stress/wavs/10127/10127_1_2.wav,The fans love the *CHANGES* we've made in this season.,The focus is on the changes themselves that are loved.,今シーズンに我々が加えた変更自体をファンが愛している。,data/sentence_stress/wavs/10127/10127_2_0.wav
67,She praised the director for the new approach.,Sentence Stress,Contrastive Stress (General),Television Interviews,10128,1,She praised the *DIRECTOR* for the new approach.,"The praise was directed specifically at the director, not someone else.",彼女はその監督を新しいアプローチを特に褒めた,data/sentence_stress/wavs/10128/10128_1_4.wav,She praised the director for the new *APPROACH*.,The new approach was specifically what earned the praise.,彼女は新しいアプローチについて、その監督を特に褒めた,data/sentence_stress/wavs/10128/10128_2_2.wav
68,The actor's performance was truly outstanding.,Sentence Stress,Contrastive Stress (General),Television Interviews,10131,1,The *ACTOR'S* performance was truly outstanding.,"It was specifically the actor's performance, not, say, the director's contribution.",特に俳優の演技が本当に素晴らしかった。,data/sentence_stress/wavs/10131/10131_1_5.wav,The actor's *PERFORMANCE* was truly outstanding.,"It was the performance that was outstanding, not another aspect like the costume or dialogue.",俳優の演技自体が本当に素晴らしかった。,data/sentence_stress/wavs/10131/10131_2_4.wav
69,We are particularly proud of this documentary.,Sentence Stress,Contrastive Stress (General),Television Interviews,10133,1,We are particularly proud of *THIS* documentary.,"The pride is in this specific documentary, not another one.",私たちはこのドキュメンタリーを特に誇りに思っています。特にこれです。,data/sentence_stress/wavs/10133/10133_1_2.wav,We are particularly proud of this *DOCUMENTARY*.,"The fact that it's a documentary, not a different type of program, is what makes them proud.",私たちはこのドキュメンタリーを特に誇りに思っています。,data/sentence_stress/wavs/10133/10133_2_5.wav
